,text,general_tags,specific_tags,token_tagset
0,Wag natin hayaan na kainin tayo ng imahinasyon at gumawa tayo ng reyalidad .,"['RB', 'PR', 'VB', 'CCP', 'VB', 'PR', 'CONJ', 'NOUN', 'IN', 'VB', 'PR', 'CONJ', 'NOUN', 'PUNC']","['RBF', 'PRP', 'VBOF', 'CCP', 'VBOF', 'PRP', 'CCB', 'NNC', 'IN', 'VBAF', 'PRP', 'CCB', 'NNC', 'PMP']","['MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'Spacy', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN']"
1,Dumami ang mga crew at empleyado ( at least nakatulong ) .,"['VB', 'DT', 'DT', 'NOUN', 'IN', 'NOUN', 'SYM', 'IN', 'JJ', 'VBPT', 'SYM', 'PUNC']","['VBAF', 'DTC', 'DTCP', 'NN', 'IN', 'NNC', 'PMS', 'IN', 'JJS', 'VBTS', 'PMS', 'PMP']","['MGNN', 'MGNN', 'MGNN', 'Spacy', 'Spacy', 'MGNN', 'MGNN', 'Spacy', 'Spacy', 'MGNN', 'MGNN', 'MGNN']"
2,"Hindi na ako nakipagtalo after ko sabihin bakit ako nakatsinelas , after hearing my side hiningi nya ang lisensya ko at tumawag sya ng ibang pulis para tiketan ako .","['RB', 'CCP', 'PR', 'VBPT', 'IN', 'PR', 'VB', 'PR', 'PR', 'VBPT', 'PUNC', 'IN', 'FW', 'PR', 'NOUN', 'VBPT', 'PR', 'DT', 'NOUN', 'PR', 'IN', 'VB', 'PR', 'CONJ', 'PR', 'NOUN', 'CONJ', 'VB', 'PR', 'PUNC']","['RBF', 'CCP', 'PRS', 'VBTS', 'IN', 'PRS', 'VBOF', 'PRQ', 'PRS', 'VBTS', 'PMC', 'IN', 'FW', 'PRP$', 'NN', 'VBTS', 'PRS', 'DTC', 'NNC', 'PRS', 'IN', 'VBAF', 'PRS', 'CCB', 'PRI', 'NNC', 'CCT', 'VBOF', 'PRS', 'PMP']","['MGNN', 'MGNN', 'MGNN', 'MGNN', 'Spacy', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'Spacy', 'MGNN', 'Spacy', 'Spacy', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'Spacy', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN']"
3,"Banal na Diyos , Banal na puspos ng kapangyarihan , Banal na walang Hanggan , maawa po kayo sa amin at sa buong mundo .","['PROPN', 'CCP', 'PROPN', 'PUNC', 'PROPN', 'CCP', 'JJ', 'CONJ', 'NOUN', 'PUNC', 'PROPN', 'CCP', 'VB', 'NOUN', 'PUNC', 'VBFT', 'PROPN', 'PR', 'CONJ', 'PR', 'IN', 'CONJ', 'PR', 'NOUN', 'PUNC']","['NNP', 'CCP', 'NNP', 'PMC', 'NNP', 'CCP', 'JJD', 'CCB', 'NNC', 'PMC', 'NNP', 'CCP', 'VBN', 'NNC', 'PMC', 'VBTF', 'NNP', 'PRP', 'CCT', 'PRSP', 'IN', 'CCT', 'PRI', 'NNC', 'PMP']","['MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'Spacy', 'MGNN', 'MGNN', 'MGNN', 'Spacy', 'MGNN', 'MGNN', 'MGNN', 'MGNN']"
4,"Sa mga sumunod na taon , ginapang ng nanay ko ang pagaaral namin ni ate sa kung ano-anong raket .","['CONJ', 'DT', 'VB', 'CCP', 'NOUN', 'PUNC', 'VBPT', 'CONJ', 'NOUN', 'PR', 'DT', 'NOUN', 'PR', 'DT', 'VBPT', 'CONJ', 'CONJ', 'NOUN', 'NOUN', 'PUNC']","['CCT', 'DTCP', 'VBAF', 'CCP', 'NNC', 'PMC', 'VBTS', 'CCB', 'NNC', 'PRS', 'DTC', 'NNC', 'PRP', 'DTP', 'VBD', 'CCT', 'CCR', 'NNC', 'NNC', 'PMP']","['MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'Spacy', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN']"
5,Akala nga raw ng ate Toni ni Alex ay hindi naghahanda ang kapatid .,"['PROPN', 'RB', 'RB', 'CONJ', 'VBPT', 'PROPN', 'DT', 'PROPN', 'LM', 'RB', 'VBPR', 'DT', 'NOUN', 'PUNC']","['NNP', 'RBI', 'RBI', 'CCB', 'VBD', 'NNP', 'DTP', 'NNP', 'LM', 'RBF', 'VBTR', 'DTC', 'NNC', 'PMP']","['MGNN', 'MGNN', 'MGNN', 'MGNN', 'Spacy', 'MGNN', 'MGNN', 'Spacy', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN']"
6,"constant tired of sh * ts You : basta nearby para one call away , no preference basta wag ka lang maarte at malinis lol , good tayo .","['JJ', 'NOUN', 'IN', 'PROPN', 'SYM', 'IN', 'PR', 'SYM', 'CONJ', 'RB', 'CONJ', 'CD', 'NOUN', 'RB', 'PUNC', 'DT', 'NOUN', 'CONJ', 'RB', 'PR', 'RB', 'VB', 'IN', 'JJ', 'FW', 'PUNC', 'JJ', 'PR', 'PUNC']","['JJ', 'NN', 'IN', 'NNP', 'PMS', 'IN', 'PRP', 'PMS', 'CCT', 'RB', 'CCT', 'CD', 'NN', 'RB', 'PMC', 'DT', 'NN', 'CCT', 'RBF', 'PRS', 'RBI', 'VBW', 'IN', 'JJD', 'FW', 'PMC', 'JJ', 'PRP', 'PMP']","['Spacy', 'Spacy', 'Spacy', 'Spacy', 'MGNN', 'Spacy', 'Spacy', 'MGNN', 'MGNN', 'Spacy', 'MGNN', 'Spacy', 'Spacy', 'Spacy', 'MGNN', 'Spacy', 'Spacy', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'Spacy', 'MGNN', 'MGNN', 'MGNN', 'Spacy', 'MGNN', 'MGNN']"
7,Hindi ko rin naman sinusubukan ang mga dating apps .,"['RB', 'PR', 'RB', 'RB', 'VBPR', 'DT', 'DT', 'JJ', 'NOUN', 'PUNC']","['RBF', 'PRS', 'RBI', 'RBI', 'VBTR', 'DTC', 'DTCP', 'JJD', 'NNS', 'PMP']","['MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'Spacy', 'MGNN']"
8,8 / 10 accdg to dating app matches .,"['CD', 'SYM', 'CD', 'FW', 'IN', 'RB', 'NOUN', 'NOUN', 'PUNC']","['CDB', 'PMS', 'CDB', 'FW', 'IN', 'RBW', 'NN', 'NNS', 'PMP']","['MGNN', 'MGNN', 'MGNN', 'MGNN', 'Spacy', 'MGNN', 'Spacy', 'Spacy', 'MGNN']"
9,"Ang daming natutulungan ng aktor na mga dating taga-showbiz na napapanood na ngayon sa Ang Probinsyano . Samantala , ang ganda ng ginawa ni Coco sa pa-raffle niya .","['DT', 'JJ', 'VBPR', 'CONJ', 'NOUN', 'CCP', 'DT', 'JJ', 'NOUN', 'CCP', 'VBPR', 'CCP', 'RB', 'CONJ', 'PROPN', 'PROPN', 'PUNC', 'CONJ', 'PUNC', 'DT', 'NOUN', 'CONJ', 'VBPT', 'DT', 'PROPN', 'CONJ', 'PROPN', 'PR', 'PUNC']","['DTC', 'JJD', 'VBTR', 'CCB', 'NNC', 'CCP', 'DTCP', 'JJD', 'NNC', 'CCP', 'VBTR', 'CCP', 'RBW', 'CCT', 'NNP', 'NNP', 'PMP', 'CCT', 'PMC', 'DTC', 'NNC', 'CCB', 'VBTS', 'DTP', 'NNP', 'CCT', 'NNP', 'PRS', 'PMP']","['MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'Spacy', 'MGNN', 'MGNN']"
